Year,Month,Carrier_Code,Airline,Airport_Code,Airport,Total_Flights,Delayed_Flights,Carrier_Delays,Weather_Delays,NAS_Delays,Security_Delays,Late_Aircraft_Delays,Cancelled_Flights,Diverted_Flights,Total_Delay_Minutes,Carrier_Delay_Minutes,Weather_Delay_Minutes,NAS_Delay_Minutes,Security_Delay_Minutes,Late_Aircraft_Delay_Minutes,On_Time_Flights,Delay_Percentage,Cancellation_Percentage,Average_Delay_Per_Flight,On_Time_Percentage,Delay_Severity
2020,12,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",44.0,3.0,1.63,0.0,0.12,0.0,1.25,0.0,1.0,89.0,56.0,0.0,3.0,0.0,30.0,41.0,6.8181818181818175,0.0,29.666666666666668,93.18181818181817,Moderate
2020,12,9E,Endeavor Air Inc.,ABY,"Albany, GA: Southwest Georgia Regional",90.0,1.0,0.96,0.0,0.04,0.0,0.0,0.0,0.0,23.0,22.0,0.0,1.0,0.0,0.0,89.0,1.1111111111111112,0.0,23.0,98.88888888888889,Moderate
2020,12,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",88.0,8.0,5.75,0.0,1.6,0.0,0.65,0.0,1.0,338.0,265.0,0.0,45.0,0.0,28.0,80.0,9.090909090909092,0.0,42.25,90.9090909090909,High
2020,12,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",184.0,9.0,4.17,0.0,1.83,0.0,3.0,0.0,0.0,508.0,192.0,0.0,92.0,0.0,224.0,175.0,4.891304347826087,0.0,56.44444444444444,95.1086956521739,High
2020,12,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",76.0,11.0,4.78,0.0,5.22,0.0,1.0,1.0,0.0,692.0,398.0,0.0,178.0,0.0,116.0,65.0,14.473684210526317,1.3157894736842104,62.90909090909091,85.52631578947368,Critical
2020,12,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",5985.0,445.0,142.89,11.96,161.37,1.0,127.79,5.0,0.0,30756.0,16390.0,1509.0,5060.0,16.0,7781.0,5540.0,7.435254803675856,0.0835421888053467,69.11460674157303,92.56474519632414,Critical
2020,12,9E,Endeavor Air Inc.,ATW,"Appleton, WI: Appleton International",142.0,14.0,5.36,0.0,7.7,0.0,0.94,1.0,0.0,436.0,162.0,0.0,182.0,0.0,92.0,128.0,9.859154929577464,0.7042253521126761,31.142857142857142,90.14084507042254,High
2020,12,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",147.0,10.0,6.04,1.0,1.0,0.0,1.96,0.0,1.0,1070.0,838.0,141.0,24.0,0.0,67.0,137.0,6.802721088435375,0.0,107.0,93.19727891156462,Critical
2020,12,9E,Endeavor Air Inc.,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",84.0,14.0,6.24,0.96,6.8,0.0,0.0,1.0,1.0,2006.0,1164.0,619.0,223.0,0.0,0.0,70.0,16.666666666666664,1.1904761904761905,143.28571428571428,83.33333333333334,Critical
2020,12,9E,Endeavor Air Inc.,BDL,"Hartford, CT: Bradley International",150.0,19.0,5.7,0.0,12.07,0.0,1.23,3.0,0.0,846.0,423.0,0.0,389.0,0.0,34.0,131.0,12.666666666666668,2.0,44.526315789473685,87.33333333333333,High
